source_dataset,technique,report_generated,sku_id,category,current_stock,lead_time_days,unit_cost,avg_daily_demand,ma_7day,ma_30day,volatility,demand_std,safety_stock,reorder_point,stockout_risk,recommended_order_qty
sku_dataset_10000_20260714_0400.csv,Multiprocessing,2026-07-14T04:11:17.721911,SKU-000001,Apparel,1208,14,60.74,30.2,31.43,26.87,0.4496,13.58,83.83,506.63,Low,0
sku_dataset_10000_20260714_0400.csv,Multiprocessing,2026-07-14T04:11:17.721911,SKU-000002,Apparel,1219,8,88.1,32.07,29.57,28.57,0.349,11.19,52.24,308.77,Low,0
sku_dataset_10000_20260714_0400.csv,Multiprocessing,2026-07-14T04:11:17.721911,SKU-000003,Toys,1144,25,22.93,22.42,18.14,20.43,0.8964,20.1,165.83,726.38,Low,0
sku_dataset_10000_20260714_0400.csv,Multiprocessing,2026-07-14T04:11:17.721911,SKU-000004,Toys,1546,10,38.62,19.57,14.71,14.9,0.7871,15.4,80.36,276.03,Low,0
sku_dataset_10000_20260714_0400.csv,Multiprocessing,2026-07-14T04:11:17.721911,SKU-000005,Electronics,770,9,1337.0,20.27,22.57,20.3,0.2107,4.27,21.14,203.54,Low,0
sku_dataset_10000_20260714_0400.csv,Multiprocessing,2026-07-14T04:11:17.721911,SKU-000006,Electronics,20,8,114.61,19.68,15.86,19.03,0.2423,4.77,22.25,179.68,Critical,160
sku_dataset_10000_20260714_0400.csv,Multiprocessing,2026-07-14T04:11:17.721911,SKU-000007,Beauty,1587,7,80.53,34.5,30.71,33.83,0.456,15.73,68.68,310.18,Low,0
sku_dataset_10000_20260714_0400.csv,Multiprocessing,2026-07-14T04:11:17.721911,SKU-000008,Groceries,1940,1,25.54,40.41,40.29,41.8,0.1865,7.54,12.43,52.84,Low,0
sku_dataset_10000_20260714_0400.csv,Multiprocessing,2026-07-14T04:11:17.721911,SKU-000009,Electronics,1474,11,1742.98,20.48,19.71,19.47,0.2419,4.95,27.11,252.37,Low,0
sku_dataset_10000_20260714_0400.csv,Multiprocessing,2026-07-14T04:11:17.721911,SKU-000010,Beauty,1922,3,77.68,35.59,31.57,31.87,0.4171,14.84,42.42,149.19,Low,0
sku_dataset_10000_20260714_0400.csv,Multiprocessing,2026-07-14T04:11:17.721911,SKU-000011,Electronics,836,9,459.04,20.39,19.71,19.53,0.2263,4.61,22.84,206.34,Low,0
sku_dataset_10000_20260714_0400.csv,Multiprocessing,2026-07-14T04:11:17.721911,SKU-000012,Electronics,983,5,628.17,19.67,17.43,19.87,0.2144,4.22,15.56,113.89,Low,0
sku_dataset_10000_20260714_0400.csv,Multiprocessing,2026-07-14T04:11:17.721911,SKU-000013,Toys,1092,23,32.17,24.81,11.86,29.5,0.7563,18.76,148.48,719.14,Low,0
